1537194147	58:b6:33:03:44:08	Ruckus Wireless	b'brshht2'	-256	2018-09-17 09:22:27.844509
1537194147	58:b6:33:43:44:03	Ruckus Wireless	b'island-034400'	-256	2018-09-17 09:22:27.845793
1537194148	7c:1c:68:91:59:29	UNKNOWN	b''	-256	2018-09-17 09:22:28.016137
1537194148	7c:1c:68:91:59:29	UNKNOWN	b''	-256	2018-09-17 09:22:28.021656
1537194148	7c:1c:68:91:59:29	UNKNOWN	b''	-256	2018-09-17 09:22:28.098769
1537194148	7c:1c:68:91:59:29	UNKNOWN	b''	-256	2018-09-17 09:22:28.101035
1537194148	ba:3b:14:f9:df:17	UNKNOWN	b''	-256	2018-09-17 09:22:28.291580
1537194148	ba:3b:14:f9:df:17	UNKNOWN	b''	-256	2018-09-17 09:22:28.299826
1537194148	ba:3b:14:f9:df:17	UNKNOWN	b''	-256	2018-09-17 09:22:28.317157
1537194148	ba:3b:14:f9:df:17	UNKNOWN	b''	-256	2018-09-17 09:22:28.329983
1537194148	52:32:74:a7:a1:d3	UNKNOWN	b''	-256	2018-09-17 09:22:28.445129
1537194148	52:32:74:a7:a1:d3	UNKNOWN	b''	-256	2018-09-17 09:22:28.490130
1537194148	d2:7c:e2:10:a3:d2	UNKNOWN	b''	-256	2018-09-17 09:22:28.575156
1537194148	d2:7c:e2:10:a3:d2	UNKNOWN	b''	-256	2018-09-17 09:22:28.596824
1537194148	d2:7c:e2:10:a3:d2	UNKNOWN	b''	-256	2018-09-17 09:22:28.615824
1537194148	52:d1:f8:f2:f9:ea	UNKNOWN	b''	-256	2018-09-17 09:22:28.619625
1537194148	52:d1:f8:f2:f9:ea	UNKNOWN	b''	-256	2018-09-17 09:22:28.662771
1537194148	b4:f1:da:de:cc:87	UNKNOWN	b''	-256	2018-09-17 09:22:28.790672
1537194148	b4:f1:da:de:cc:87	UNKNOWN	b''	-256	2018-09-17 09:22:28.792713
1537194149	f4:f5:24:72:51:20	Motorola Mobility LLC, a Lenovo Company	b'webOSTVLJ55OD'	-256	2018-09-17 09:22:29.016743
1537194149	f4:f5:24:72:51:20	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:29.018324
1537194149	f4:f5:24:72:51:20	Motorola Mobility LLC, a Lenovo Company	b'webOSTVLJ55OD'	-256	2018-09-17 09:22:29.023914
1537194149	f4:f5:24:72:51:20	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:29.024828
1537194149	f4:f5:24:72:51:20	Motorola Mobility LLC, a Lenovo Company	b'webOSTVLJ55OD'	-256	2018-09-17 09:22:29.038036
1537194149	f4:f5:24:72:51:20	Motorola Mobility LLC, a Lenovo Company	b''	-256	2018-09-17 09:22:29.038979
