time,spottings
0,1296
300,1418
600,678
900,880
1200,906
1500,956
1800,849
2100,807
2400,737
2700,663
3000,1032
3300,553
3600,9
3900,234
4200,48
4500,367
4800,119
5100,1124
5400,607
5700,169
6000,1
6300,18
6600,212
6900,503
7200,537
7500,320
7800,577
8100,310
8400,265
8700,317
0,1295
300,1418
600,678
900,880
1200,906
1500,956
1800,849
2100,807
2400,737
2700,663
3000,1032
3300,553
3600,9
3900,234
4200,48
4500,367
4800,119
5100,1124
5400,607
5700,169
6000,1
6300,18
6600,212
6900,503
7200,537
7500,320
7800,577
8100,310
8400,265
8700,317
0,1295
300,1418
600,678
900,880
1200,906
1500,956
1800,849
2100,807
2400,737
2700,663
3000,1032
3300,553
3600,9
3900,234
4200,48
4500,367
4800,119
5100,1124
5400,607
5700,169
6000,1
6300,18
6600,212
6900,503
7200,537
7500,320
7800,577
8100,310
8400,265
