time,spottings
0,310
300,442
600,527
900,432
1200,381
5100,240
5400,324
5700,467
6000,512
6300,275
6600,280
6900,331
7200,289
7500,388
7800,287
8100,374
8400,433
8700,303
9000,326
9300,73
9600,45
10200,125
10500,142
10800,178
11100,244
11400,238
11700,110
12000,194
12300,264
12600,158
0,309
300,442
600,527
900,432
1200,381
5100,240
5400,324
5700,467
6000,512
6300,275
6600,280
6900,331
7200,289
7500,388
7800,287
8100,374
8400,433
8700,303
9000,326
9300,73
9600,45
10200,125
10500,142
10800,178
11100,244
11400,238
11700,110
12000,194
12300,264
12600,158
0,309
300,442
600,527
900,432
1200,381
5100,240
5400,324
5700,467
6000,512
6300,275
6600,280
6900,331
7200,289
7500,388
7800,287
8100,374
8400,433
8700,303
9000,326
9300,73
9600,45
10200,125
10500,142
10800,178
11100,244
11400,238
11700,110
12000,194
12300,264
