mac,dep_station,dep_time,time,dep_time_group
b8:bc:1b:31:cd:e2,calle100,3947,418,60
04:f1:28:71:9c:74,calle100,3967,1587,60
a8:51:5b:fe:06:4c,calle100,4013,1592,60
98:0c:a5:51:d6:f7,calle100,4036,353,60
da:a1:19:f0:58:0c,calle100,4041,1411,60
5c:51:88:64:d6:a1,calle100,4061,298,60
f4:f5:24:fc:f6:ec,calle100,4077,144,60
ec:88:92:d8:cc:73,calle100,4079,160,60
da:a1:19:f0:56:41,calle100,4173,95,60
da:a1:19:53:44:11,calle100,4238,1114,70
da:a1:19:5a:9e:89,calle100,4286,1462,70
f0:43:47:51:56:28,calle100,4476,267,70
d4:63:c6:70:aa:14,calle100,4988,484,80
bc:54:51:8f:05:fc,calle100,5090,307,80
3a:0b:40:37:5e:be,calle100,5097,151,80
80:6c:1b:62:0a:8a,calle100,5107,299,80
da:a1:19:cb:c7:7b,calle100,5214,612,80
9c:e0:63:0d:f6:42,calle100,5229,1070,80
f0:c8:50:13:36:2d,calle100,5247,309,80
cc:79:cf:f7:d3:49,calle100,5372,266,80
da:a1:19:e9:2d:e1,calle100,5404,660,90
40:78:6a:c9:b0:cd,calle100,5481,569,90
e8:93:09:be:d0:3e,calle100,5531,494,90
d0:fc:cc:07:88:48,calle100,5652,491,90
38:94:96:25:30:b4,calle100,5710,173,90
30:6a:85:6e:6e:b2,calle100,5712,173,90
38:d4:0b:f4:f3:2c,calle100,5742,395,90
84:10:0d:1b:cb:5e,calle100,5768,228,90
dc:44:b6:61:07:da,calle100,5768,261,90
c8:d7:b0:f5:68:59,calle100,5769,245,90
68:5a:cf:7a:a6:56,calle100,5770,264,90
98:0c:a5:fd:5d:43,calle100,5797,253,90
88:75:98:23:20:2b,calle100,5799,241,90
40:d3:ae:7c:c7:0c,calle100,5799,214,90
80:58:f8:82:ed:71,calle100,5824,620,90
cc:c3:ea:98:d1:72,calle100,5916,212,90
d0:04:01:33:42:b9,calle100,5925,228,90
80:58:f8:64:73:8d,calle100,6011,228,100
88:44:77:71:1f:01,calle100,6045,216,100
88:79:7e:60:94:1a,calle100,6078,266,100
08:d4:6a:c3:ab:ce,calle100,6154,221,100
24:da:9b:f7:f1:fd,calle100,6171,288,100
a4:70:d6:6f:6d:26,calle100,6279,702,100
bc:d1:d3:2d:32:13,calle100,6332,249,100
04:f1:28:06:25:1e,calle100,6554,242,100
d8:e5:6d:2c:95:b9,calle100,6911,1320,110
e0:a3:ac:75:31:fa,calle100,6923,139,110
f4:f5:24:77:57:33,calle100,6978,446,110
2c:ae:2b:53:f2:08,calle100,7024,160,110
e4:58:b8:b5:21:33,calle100,7076,601,110
fc:42:03:41:d5:5f,calle100,7104,399,110
d0:04:01:28:66:87,calle100,7150,327,110
a0:32:99:c7:2b:9a,calle100,7154,284,110
a4:6c:f1:d3:47:bd,calle100,7180,387,110
00:08:22:9c:35:05,calle100,7217,391,120
3c:f7:a4:6d:e7:d3,calle100,7270,185,120
d0:77:14:0e:c2:ad,calle100,7353,934,120
44:80:eb:d9:6c:f8,calle100,7852,354,130
3c:bb:fd:c8:1c:21,calle100,7867,386,130
50:01:d9:3b:37:72,calle100,7875,185,130
c8:d7:b0:40:88:71,calle100,7880,455,130
9c:d9:17:6f:da:96,calle100,7885,567,130
48:13:7e:a5:77:8a,calle100,8471,261,140
30:4b:07:25:dc:30,calle100,8472,248,140
9c:b2:b2:8e:15:03,calle100,8499,505,140
64:db:43:ef:43:ce,calle100,8519,666,140
14:9f:3c:5a:31:13,calle100,8523,219,140
a8:96:75:c5:93:c0,calle100,8525,187,140
dc:bf:e9:e0:15:68,calle100,8525,210,140
20:a9:0e:3c:2f:d6,calle100,9039,691,150
e0:aa:96:0c:d4:20,calle100,9298,433,150
00:0c:e7:a4:45:32,calle100,9316,421,150
3c:fa:43:5e:fc:17,calle100,9354,385,150
b0:89:00:3a:d7:a7,calle100,9358,380,150
fc:42:03:35:55:9e,calle100,9378,371,150
d0:fc:cc:bb:6b:69,calle100,9381,347,150
f0:ee:10:86:19:24,calle100,9411,1568,150
b4:bf:f6:34:75:7f,calle100,9500,212,150
a0:cb:fd:3b:b3:2c,calle100,10734,590,170
9c:4f:cf:91:b1:92,calle100,11019,174,180
f0:25:b7:38:4c:d1,calle100,11075,310,180
14:1f:78:4a:88:07,calle100,11097,1266,180
44:80:eb:a7:79:e2,calle100,11126,290,180
d0:13:fd:2a:c4:e3,calle100,11176,534,180
d4:38:9c:6f:df:9b,calle100,11260,538,180
5c:03:39:55:6d:ae,calle100,11271,210,180
18:e3:bc:5a:b8:3b,calle100,11271,207,180
c4:5b:99:a8:1c:58,calle100,11272,225,180
5c:c3:07:a0:92:55,calle100,11464,753,190
60:a4:d0:38:c8:a4,calle100,11755,244,190
70:4d:7b:0b:cd:75,calle100,11941,303,190
a4:6c:f1:f8:a6:86,calle100,11967,237,190
a8:c8:3a:7b:cb:ba,calle100,11993,232,190
64:a6:51:43:7a:2e,calle100,12089,310,200
08:d4:6a:c3:3c:53,calle100,12355,305,200
d0:9d:ab:39:60:e8,calle100,12405,135,200
