mac,dep_station,dep_time,time
34:14:5f:b4:94:01,heroes,2,8427
5c:51:88:ff:a1:0b,heroes,2,839
a0:32:99:01:c1:d5,heroes,3,1012
f4:f5:24:72:27:ec,heroes,4,714
da:a1:19:01:85:98,heroes,9,80
da:a1:19:31:d0:84,heroes,14,8786
8c:bf:a6:9f:63:db,heroes,16,867
da:a1:19:57:bf:aa,heroes,28,8777
da:a1:19:07:6f:23,heroes,36,7857
da:a1:19:55:f4:df,heroes,47,2873
da:a1:19:90:9b:86,heroes,69,7448
d0:ff:98:95:7f:8a,heroes,101,615
14:a5:1a:f4:ec:9f,heroes,107,630
da:a1:19:65:72:26,heroes,117,1308
da:a1:19:ad:5d:48,heroes,121,6772
da:a1:19:f4:5c:10,heroes,161,7705
3c:f7:a4:5a:fb:d9,heroes,181,714
da:a1:19:38:69:54,heroes,197,1855
00:5a:13:85:b9:76,heroes,215,458
d4:38:9c:b6:c8:07,heroes,220,245
b8:1d:aa:fb:d0:c7,heroes,220,243
da:a1:19:97:6d:58,heroes,238,3075
d4:38:9c:d6:0c:73,heroes,250,331
bc:ff:eb:bb:78:a7,heroes,259,321
14:a5:1a:6f:89:f2,heroes,259,655
da:a1:19:2d:ca:7e,heroes,285,3000
0c:2c:54:57:44:61,heroes,299,479
94:0e:6b:2e:2e:82,heroes,306,474
a8:96:75:b4:18:5f,heroes,306,453
da:a1:19:aa:db:c6,heroes,313,7546
50:9e:a7:57:b3:4c,heroes,320,315
da:a1:19:a1:e5:d0,heroes,324,742
da:a1:19:0a:61:15,heroes,328,996
da:a1:19:b7:e8:9c,heroes,346,714
da:a1:19:2a:00:eb,heroes,373,2802
d0:b1:28:ce:2f:5f,heroes,392,242
3c:dc:bc:45:be:9c,heroes,417,318
da:a1:19:5a:8b:3f,heroes,422,6831
9c:5c:f9:da:03:97,heroes,427,183
f0:d7:aa:da:6c:86,heroes,430,184
9c:c1:72:33:79:9b,heroes,439,450
da:a1:19:b7:c4:af,heroes,533,4944
d0:77:14:83:c8:07,heroes,546,4087
3c:fa:43:3d:ac:56,heroes,1038,593
0c:2c:54:57:cd:4f,heroes,1572,740
5c:51:88:4e:91:52,heroes,1704,391
3c:fa:43:3c:ae:92,heroes,2492,879
00:ee:bd:9e:fd:79,heroes,2702,248
44:80:eb:12:a5:d3,heroes,2749,297
74:ba:db:24:b0:40,heroes,2755,192
d0:ff:98:a2:cd:f9,heroes,2827,518
20:a6:80:4a:00:ac,heroes,2867,492
f0:43:47:50:bc:20,heroes,2915,288
dc:0b:34:de:4d:fd,heroes,2917,430
a0:32:99:c7:16:02,heroes,2921,423
f4:cb:52:ac:fe:d9,heroes,2925,314
10:44:00:4d:47:d2,heroes,2930,309
7c:1c:68:d5:1d:99,heroes,2953,333
80:6c:1b:a3:1f:4e,heroes,2960,264
ac:37:43:03:e4:c0,heroes,2976,386
40:b8:37:48:68:d2,heroes,2981,375
54:27:58:94:04:fd,heroes,2982,379
2c:59:8a:4e:86:a1,heroes,2985,284
50:a7:2b:d8:99:d5,heroes,3014,362
cc:fd:17:cf:d3:53,heroes,3019,962
88:d7:f6:b2:f4:9c,heroes,3043,337
a8:b8:6e:2d:ee:35,heroes,3053,326
d0:04:01:d8:ff:63,heroes,3209,3860
60:83:34:5d:e7:59,heroes,3235,205
24:da:9b:f7:ae:b7,heroes,3327,571
dc:bf:e9:21:69:2b,heroes,3393,3431
f8:cf:c5:41:91:06,heroes,3486,5341
d0:31:69:de:57:3b,heroes,3522,5226
d0:65:ca:4a:a6:93,heroes,3586,374
44:78:3e:6a:b2:36,heroes,3645,867
da:a1:19:7a:19:cd,heroes,3686,3363
bc:e6:3f:9e:fa:bf,heroes,3710,4556
80:58:f8:54:08:5f,heroes,3799,1669
04:f1:28:06:cd:07,heroes,3839,3622
d0:fc:cc:a5:a4:e5,heroes,3927,699
a8:96:75:d6:1c:d0,heroes,3948,4168
60:1d:91:d1:89:af,heroes,4069,490
38:80:df:8c:bd:d0,heroes,4074,499
e0:c9:7a:66:05:11,heroes,4128,445
cc:61:e5:53:0c:09,heroes,4268,341
bc:ff:eb:bc:a9:2d,heroes,4404,226
48:88:ca:19:25:33,heroes,4411,2936
14:1f:78:53:e6:08,heroes,4438,622
60:e3:ac:de:fb:29,heroes,4451,667
24:da:9b:79:0f:77,heroes,4474,645
da:a1:19:1e:86:3a,heroes,4490,624
44:d8:84:44:ad:45,heroes,4546,771
2c:4d:54:78:eb:5c,heroes,4579,972
da:a1:19:f3:00:b4,heroes,4591,4191
da:a1:19:06:4a:fe,heroes,4716,421
da:a1:19:7b:88:3c,heroes,8458,359
44:c3:46:d7:25:61,heroes,8528,285
90:68:c3:1e:bf:50,heroes,8555,267
