mac,dep_station,dep_time,time,dep_time_group
34:14:5f:b4:94:01,heroes,3945,8427,3900
5c:51:88:ff:a1:0b,heroes,3945,839,3900
a0:32:99:01:c1:d5,heroes,3946,1012,3900
f4:f5:24:72:27:ec,heroes,3947,714,3900
da:a1:19:01:85:98,heroes,3952,80,3900
da:a1:19:31:d0:84,heroes,3957,8786,3900
8c:bf:a6:9f:63:db,heroes,3959,867,3900
da:a1:19:57:bf:aa,heroes,3971,8777,3900
da:a1:19:07:6f:23,heroes,3979,7857,3900
da:a1:19:55:f4:df,heroes,3990,2873,3900
da:a1:19:90:9b:86,heroes,4012,7448,3900
d0:ff:98:95:7f:8a,heroes,4044,615,3900
14:a5:1a:f4:ec:9f,heroes,4050,630,3900
da:a1:19:65:72:26,heroes,4060,1308,3900
da:a1:19:ad:5d:48,heroes,4064,6772,3900
da:a1:19:f4:5c:10,heroes,4104,7705,3900
3c:f7:a4:5a:fb:d9,heroes,4124,714,3900
da:a1:19:38:69:54,heroes,4140,1855,3900
00:5a:13:85:b9:76,heroes,4158,458,3900
d4:38:9c:b6:c8:07,heroes,4163,245,3900
b8:1d:aa:fb:d0:c7,heroes,4163,243,3900
da:a1:19:97:6d:58,heroes,4181,3075,3900
d4:38:9c:d6:0c:73,heroes,4193,331,3900
bc:ff:eb:bb:78:a7,heroes,4202,321,4200
14:a5:1a:6f:89:f2,heroes,4202,655,4200
da:a1:19:2d:ca:7e,heroes,4228,3000,4200
0c:2c:54:57:44:61,heroes,4242,479,4200
94:0e:6b:2e:2e:82,heroes,4249,474,4200
a8:96:75:b4:18:5f,heroes,4249,453,4200
da:a1:19:aa:db:c6,heroes,4256,7546,4200
50:9e:a7:57:b3:4c,heroes,4263,315,4200
da:a1:19:a1:e5:d0,heroes,4267,742,4200
da:a1:19:0a:61:15,heroes,4271,996,4200
da:a1:19:b7:e8:9c,heroes,4289,714,4200
da:a1:19:2a:00:eb,heroes,4316,2802,4200
d0:b1:28:ce:2f:5f,heroes,4335,242,4200
3c:dc:bc:45:be:9c,heroes,4360,318,4200
da:a1:19:5a:8b:3f,heroes,4365,6831,4200
9c:5c:f9:da:03:97,heroes,4370,183,4200
f0:d7:aa:da:6c:86,heroes,4373,184,4200
9c:c1:72:33:79:9b,heroes,4382,450,4200
da:a1:19:b7:c4:af,heroes,4476,4944,4200
d0:77:14:83:c8:07,heroes,4489,4087,4200
3c:fa:43:3d:ac:56,heroes,4981,593,4800
d4:38:9c:e0:99:87,heroes,5200,369,5100
a8:51:5b:9e:75:7b,heroes,5279,996,5100
9c:e0:63:e3:f4:81,heroes,5284,7080,5100
da:a1:19:26:b2:cb,heroes,5355,980,5100
0c:cb:85:f0:12:b2,heroes,5431,361,5400
28:3f:69:b8:7f:41,heroes,5476,799,5400
da:a1:19:ed:31:1c,heroes,5481,1772,5400
90:97:f3:86:81:f4,heroes,5485,799,5400
da:a1:19:e9:1a:ce,heroes,5493,339,5400
0c:2c:54:57:cd:4f,heroes,5521,734,5400
5c:51:88:4e:91:52,heroes,5609,429,5400
f4:f5:24:d2:a8:90,heroes,5613,436,5400
d0:65:ca:bb:83:8e,heroes,5622,424,5400
bc:ff:eb:d5:82:2b,heroes,5641,408,5400
44:6e:e5:4a:af:87,heroes,5681,705,5400
60:45:cb:4a:5f:d1,heroes,5763,435,5700
3c:dc:bc:83:86:35,heroes,5791,505,5700
da:a1:19:17:92:46,heroes,5810,588,5700
58:7f:66:e9:f0:c9,heroes,5941,444,5700
14:30:c6:6e:97:e0,heroes,5945,300,5700
8c:99:e6:55:92:0d,heroes,5952,349,5700
90:68:c3:9e:c9:19,heroes,5963,393,5700
d0:04:01:bc:a1:de,heroes,5986,345,5700
d0:77:14:2d:23:4b,heroes,5992,337,5700
bc:ff:eb:d9:fd:d2,heroes,5995,310,5700
d0:04:01:ef:2b:b0,heroes,5997,334,5700
da:a1:19:5d:c5:f2,heroes,6009,126,6000
3c:fa:43:b6:96:d6,heroes,6029,312,6000
c0:d3:c0:d0:58:cd,heroes,6029,253,6000
50:a7:2b:8c:92:ab,heroes,6071,1232,6000
d0:77:14:2b:ac:63,heroes,6073,238,6000
e0:aa:96:2a:b6:3c,heroes,6081,199,6000
38:80:df:1d:21:cd,heroes,6139,255,6000
fc:42:03:e1:1d:a6,heroes,6153,638,6000
da:a1:19:59:1e:d2,heroes,6197,956,6000
f4:f5:24:ff:88:f9,heroes,6211,576,6000
ac:37:43:03:e4:c0,heroes,6239,1066,6000
3c:fa:43:3c:ae:92,heroes,6277,1037,6000
7c:46:85:ef:c8:b2,heroes,6597,215,6300
24:da:9b:f7:a9:d0,heroes,6614,390,6600
3c:bb:fd:2d:59:a8,heroes,6614,359,6600
00:ee:bd:9e:fd:79,heroes,6651,242,6600
40:3f:8c:1a:b3:15,heroes,6678,362,6600
cc:9f:7a:aa:4b:79,heroes,6698,179,6600
44:80:eb:12:a5:d3,heroes,6699,290,6600
34:fc:ef:ec:b0:c3,heroes,6700,303,6600
d0:ff:98:a2:cd:f9,heroes,6776,512,6600
dc:0b:34:de:4d:fd,heroes,6859,431,6600
f0:43:47:50:bc:20,heroes,6863,283,6600
f4:cb:52:ac:fe:d9,heroes,6874,308,6600
a0:32:99:c7:16:02,heroes,6879,408,6600
54:27:58:94:04:fd,heroes,6932,372,6900
40:b8:37:48:68:d2,heroes,6947,352,6900
ec:88:92:b4:39:92,heroes,6991,104,6900
88:d7:f6:b2:f4:9c,heroes,6994,329,6900
a8:b8:6e:2d:ee:35,heroes,7003,319,6900
da:a1:19:31:75:f0,heroes,7015,2208,6900
da:a1:19:e2:81:35,heroes,7254,3775,7200
dc:bf:e9:21:69:2b,heroes,7325,3442,7200
f8:cf:c5:41:91:06,heroes,7416,5354,7200
c8:d7:b0:12:cc:a3,heroes,7524,328,7500
4c:4e:03:14:0d:4e,heroes,7656,226,7500
44:78:3e:6a:b2:36,heroes,7658,797,7500
bc:e6:3f:9e:fa:bf,heroes,7660,4549,7500
da:a1:19:ba:7f:33,heroes,7706,5001,7500
04:f1:28:06:cd:07,heroes,7783,3621,7500
da:a1:19:1e:86:3a,heroes,7874,1183,7800
d0:fc:cc:a5:a4:e5,heroes,7876,693,7800
38:80:df:8c:bd:d0,heroes,7922,594,7800
60:1d:91:d1:89:af,heroes,8059,443,7800
b4:74:43:fa:ce:43,heroes,8062,415,7800
