mac,dep_station,dep_time,time,dep_time_group
mac,dep_station,dep_time,time,NaN
3c:f7:a4:6d:e4:d5,heroes,19,737,0
da:a1:19:27:58:0c,heroes,36,1002,0
34:14:5f:37:9f:47,heroes,38,445,0
10:7b:44:6a:75:5f,heroes,40,289,0
b0:89:00:91:b4:73,heroes,55,414,0
00:f8:1c:38:b6:76,heroes,63,326,0
90:06:28:32:27:81,heroes,64,602,0
54:fc:f0:e9:05:a0,heroes,116,275,0
d0:77:14:98:dc:fa,heroes,119,208,0
18:d2:76:f0:14:7e,heroes,121,203,0
bc:ff:eb:d9:7e:98,heroes,123,201,0
a0:4c:5b:59:dd:84,heroes,131,193,0
fc:42:03:39:61:ac,heroes,136,203,0
84:10:0d:ff:85:ce,heroes,143,381,0
0c:cb:85:75:81:f9,heroes,155,353,0
c0:d3:c0:c6:7b:9d,heroes,172,296,0
58:c5:cb:f8:78:11,heroes,201,391,0
d4:38:9c:d4:ef:5b,heroes,230,179,0
2c:fd:a1:a5:a2:d1,heroes,232,476,0
88:b4:a6:d5:a4:5b,heroes,243,486,0
9c:e0:63:fe:06:75,heroes,286,591,0
bc:91:b5:a9:ae:f0,heroes,318,212,300
d0:13:fd:2e:b4:a0,heroes,324,234,300
ec:cb:30:a0:7f:6a,heroes,327,204,300
a8:96:75:83:6d:0f,heroes,333,391,300
f8:e0:79:a6:c3:eb,heroes,338,311,300
34:97:f6:d0:bd:62,heroes,375,330,300
5c:51:88:66:d3:f9,heroes,377,337,300
a8:a1:98:f0:86:df,heroes,381,276,300
0c:cb:85:d5:64:fb,heroes,406,358,300
74:ba:db:34:a4:f1,heroes,409,353,300
8c:eb:c6:b4:d0:2c,heroes,430,369,300
da:a1:19:03:6b:1f,heroes,432,1565,300
f4:22:9e:64:e3:a8,heroes,443,214,300
80:6c:1b:5d:d2:53,heroes,445,224,300
94:0e:6b:09:78:14,heroes,454,238,300
da:a1:19:4b:b3:50,heroes,461,1039,300
dc:bf:e9:85:d5:49,heroes,462,204,300
04:1b:6d:f9:df:75,heroes,467,407,300
dc:74:a8:61:c6:18,heroes,468,187,300
14:36:c6:14:02:25,heroes,478,322,300
40:88:05:3f:51:72,heroes,480,427,300
54:fc:f0:99:8d:27,heroes,481,241,300
54:f2:01:e7:77:13,heroes,481,176,300
24:92:0e:23:aa:76,heroes,487,367,300
90:06:28:3a:b4:07,heroes,491,391,300
f4:f1:e1:6e:37:91,heroes,503,297,300
a8:a1:98:d7:8c:fb,heroes,507,232,300
38:80:df:ce:70:c6,heroes,514,724,300
88:b4:a6:48:71:23,heroes,531,302,300
b4:30:52:41:9a:15,heroes,532,368,300
00:87:01:5d:c4:e7,heroes,539,279,300
0c:cb:85:dd:9a:e1,heroes,551,426,300
7c:2e:dd:32:f4:78,heroes,559,276,300
dc:bf:e9:74:a4:7c,heroes,560,244,300
9c:e0:63:63:e1:c8,heroes,560,291,300
fc:42:03:7f:8c:a7,heroes,561,246,300
9c:6c:15:bf:08:c4,heroes,562,247,300
d0:b1:28:5b:b7:e7,heroes,571,252,300
1c:23:2c:bf:23:93,heroes,571,334,300
dc:0b:34:a5:50:36,heroes,575,275,300
3c:05:18:e1:08:75,heroes,579,220,300
90:97:f3:1f:95:0a,heroes,583,259,300
f4:f5:24:43:8c:05,heroes,584,438,300
88:b4:a6:07:cc:8b,heroes,589,237,300
28:3f:69:5b:3d:15,heroes,589,300,300
da:a1:19:37:d6:8a,heroes,589,143,300
bc:76:5e:3e:2b:2f,heroes,593,317,300
a8:51:5b:1b:c8:c2,heroes,603,241,600
90:68:c3:4b:22:81,heroes,604,306,600
d0:04:01:6e:3a:bb,heroes,607,241,600
d4:38:9c:d6:2e:1c,heroes,609,218,600
d4:28:d5:99:3a:44,heroes,626,261,600
a8:96:75:59:fa:21,heroes,628,566,600
24:da:9b:6b:e5:83,heroes,630,559,600
8c:c5:e1:d4:83:22,heroes,630,267,600
dc:44:b6:f1:cb:47,heroes,641,435,600
10:7b:44:70:a8:3f,heroes,657,413,600
d4:38:9c:b3:5d:17,heroes,659,288,600
bc:ff:eb:c2:2c:fc,heroes,698,371,600
14:1a:a3:9d:13:25,heroes,701,273,600
d0:04:01:e6:33:1a,heroes,707,282,600
d4:ae:05:60:20:e3,heroes,718,355,600
bc:ff:eb:be:d5:c7,heroes,723,336,600
80:58:f8:64:06:31,heroes,731,414,600
c0:17:4d:bd:0f:d1,heroes,738,229,600
5c:2e:59:46:12:36,heroes,744,499,600
50:9e:a7:96:b6:2d,heroes,758,236,600
a8:96:75:57:0b:bf,heroes,758,287,600
bc:ff:eb:d9:f5:79,heroes,761,334,600
80:58:f8:ff:7f:0b,heroes,767,227,600
14:9a:10:07:de:d4,heroes,769,419,600
14:a5:1a:2f:80:06,heroes,770,418,600
68:a0:f6:55:11:b7,heroes,774,409,600
00:f8:1c:4c:59:2c,heroes,803,418,600
b4:74:43:e2:cc:29,heroes,803,422,600
28:9a:fa:1c:4f:f6,heroes,812,386,600
30:96:fb:52:a5:ba,heroes,820,384,600
58:c5:cb:b9:33:b3,heroes,821,368,600
c0:d3:c0:46:4e:27,heroes,838,364,600
a8:c8:3a:7c:2c:fe,heroes,841,470,600
50:9e:a7:d5:cc:75,heroes,846,435,600
80:6a:b0:3d:15:ce,heroes,863,313,600
b4:74:43:36:05:8d,heroes,869,377,600
f4:f5:24:72:26:4e,heroes,872,370,600
a8:b8:6e:1e:fb:7a,heroes,892,346,600
d0:b1:28:5b:e1:a9,heroes,893,516,600
d4:38:9c:c5:6d:82,heroes,894,478,600
e0:2c:b2:7a:81:a5,heroes,950,501,900
40:cb:a8:85:94:eb,heroes,994,583,900
da:a1:19:b0:18:cc,heroes,1031,968,900
80:6c:1b:30:84:a4,heroes,1076,353,900
1c:cb:99:a4:37:fe,heroes,1091,337,900
04:c2:3e:8a:4d:dd,heroes,1091,339,900
40:b8:37:5a:b8:20,heroes,1147,372,900
80:c5:e6:89:f6:84,heroes,1171,496,900
34:97:f6:d0:b8:b8,heroes,1181,257,900
8c:0d:76:77:12:49,heroes,1184,336,900
20:6e:9c:27:5b:27,heroes,1188,528,900
da:a1:19:b4:f8:ac,heroes,1216,348,1200
60:a4:d0:8f:21:e9,heroes,1266,297,1200
f4:71:90:02:40:16,heroes,1273,241,1200
60:1d:91:dd:cd:41,heroes,1308,469,1200
bc:54:51:6e:90:10,heroes,1312,492,1200
b8:1d:aa:b8:66:73,heroes,1313,491,1200
08:ec:a9:99:cd:c6,heroes,1314,429,1200
30:a8:db:0d:70:0d,heroes,1342,228,1200
d4:38:9c:c6:62:aa,heroes,1346,338,1200
30:4b:07:49:92:49,heroes,1386,209,1200
d0:fc:cc:73:f8:35,heroes,1386,409,1200
80:5a:04:c0:2e:d8,heroes,1387,210,1200
9c:da:da:b6:c7:57,heroes,1400,319,1200
7c:0b:c6:9b:ee:5d,heroes,1425,348,1200
d8:68:c3:68:f0:6d,heroes,1437,360,1200
80:58:f8:fd:e3:82,heroes,1438,300,1200
b4:74:43:33:1e:69,heroes,1442,363,1200
80:65:6d:ec:8a:b1,heroes,1443,302,1200
88:79:7e:f7:ad:19,heroes,1444,333,1200
d0:77:14:64:5b:a4,heroes,1448,328,1200
