mac,dep_station,dep_time,time,NaN
80:71:7a:70:64:80,calle100,286,223,0
fc:42:03:7e:50:79,calle100,291,228,0
d4:38:9c:25:65:e1,calle100,315,291,300
34:2d:0d:df:06:b7,calle100,318,216,300
8c:25:05:df:9a:92,calle100,356,296,300
cc:61:e5:cd:be:47,calle100,518,355,300
28:3f:69:5c:a0:19,calle100,581,323,300
d4:38:9c:d4:a3:d5,calle100,613,342,600
5c:a8:6a:a3:61:c3,calle100,614,354,600
d4:38:9c:bc:f3:85,calle100,618,359,600
f0:ee:10:61:ea:16,calle100,675,153,600
a4:ca:a0:01:8b:58,calle100,794,193,600
b8:1d:aa:af:60:3b,calle100,795,193,600
da:a1:19:01:85:98,calle100,798,329,600
80:58:f8:62:57:ed,calle100,839,271,600
04:8c:09:01:38:c1,calle100,840,268,600
d0:fc:cc:c1:e1:e2,calle100,840,275,600
38:80:df:24:0c:dc,calle100,842,279,600
f8:e0:79:4a:25:1d,calle100,848,255,600
d8:c4:6a:41:ab:b7,calle100,854,247,600
a4:07:b6:94:34:79,calle100,865,254,600
50:a7:2b:b8:d2:3c,calle100,867,251,600
a8:51:5b:30:4b:21,calle100,960,343,900
bc:ff:eb:d5:84:12,calle100,987,334,900
34:69:87:3f:c4:48,calle100,1060,267,900
b0:55:08:73:1f:61,calle100,1064,271,900
a8:51:5b:fe:06:4c,calle100,4013,1592,3900
da:a1:19:f0:58:0c,calle100,4041,1411,3900
da:a1:19:53:44:11,calle100,4238,1114,4200
da:a1:19:5a:9e:89,calle100,4286,1462,4200
d4:63:c6:70:aa:14,calle100,4988,484,4800
bc:54:51:8f:05:fc,calle100,5090,307,4800
3a:0b:40:37:5e:be,calle100,5097,151,4800
80:6c:1b:62:0a:8a,calle100,5107,299,5100
da:a1:19:cb:c7:7b,calle100,5214,612,5100
f0:c8:50:13:36:2d,calle100,5247,309,5100
da:a1:19:65:72:26,calle100,5368,610,5100
cc:79:cf:f7:d3:49,calle100,5372,266,5100
da:a1:19:e9:2d:e1,calle100,5404,660,5400
e8:93:09:be:d0:3e,calle100,5531,494,5400
d0:fc:cc:07:88:48,calle100,5652,491,5400
38:94:96:25:30:b4,calle100,5710,173,5700
30:6a:85:6e:6e:b2,calle100,5712,173,5700
38:d4:0b:f4:f3:2c,calle100,5742,395,5700
84:10:0d:1b:cb:5e,calle100,5768,228,5700
dc:44:b6:61:07:da,calle100,5768,261,5700
c8:d7:b0:f5:68:59,calle100,5769,245,5700
68:5a:cf:7a:a6:56,calle100,5770,264,5700
98:0c:a5:fd:5d:43,calle100,5797,253,5700
88:75:98:23:20:2b,calle100,5799,241,5700
40:d3:ae:7c:c7:0c,calle100,5799,214,5700
80:58:f8:82:ed:71,calle100,5824,620,5700
cc:c3:ea:98:d1:72,calle100,5916,212,5700
d0:04:01:33:42:b9,calle100,5925,228,5700
80:58:f8:64:73:8d,calle100,6011,228,6000
88:44:77:71:1f:01,calle100,6045,216,6000
88:79:7e:60:94:1a,calle100,6078,266,6000
08:d4:6a:c3:ab:ce,calle100,6154,221,6000
24:da:9b:f7:f1:fd,calle100,6171,288,6000
a4:70:d6:6f:6d:26,calle100,6279,702,6000
bc:d1:d3:2d:32:13,calle100,6332,249,6300
04:f1:28:06:25:1e,calle100,6554,242,6300
d8:e5:6d:2c:95:b9,calle100,6911,1320,6900
e0:a3:ac:75:31:fa,calle100,6923,139,6900
f4:f5:24:77:57:33,calle100,6978,446,6900
2c:ae:2b:53:f2:08,calle100,7024,160,6900
e4:58:b8:b5:21:33,calle100,7076,601,6900
fc:42:03:41:d5:5f,calle100,7104,399,6900
d0:04:01:28:66:87,calle100,7150,327,6900
a0:32:99:c7:2b:9a,calle100,7154,284,6900
a4:6c:f1:d3:47:bd,calle100,7180,387,6900
00:08:22:9c:35:05,calle100,7217,391,7200
3c:f7:a4:6d:e7:d3,calle100,7270,185,7200
d0:77:14:0e:c2:ad,calle100,7353,934,7200
44:80:eb:d9:6c:f8,calle100,7852,354,7800
3c:bb:fd:c8:1c:21,calle100,7867,386,7800
50:01:d9:3b:37:72,calle100,7875,185,7800
c8:d7:b0:40:88:71,calle100,7880,455,7800
9c:d9:17:6f:da:96,calle100,7885,567,7800
48:13:7e:a5:77:8a,calle100,8471,261,8400
30:4b:07:25:dc:30,calle100,8472,248,8400
9c:b2:b2:8e:15:03,calle100,8499,505,8400
64:db:43:ef:43:ce,calle100,8519,666,8400
14:9f:3c:5a:31:13,calle100,8523,219,8400
a8:96:75:c5:93:c0,calle100,8525,187,8400
dc:bf:e9:e0:15:68,calle100,8525,210,8400
20:a9:0e:3c:2f:d6,calle100,9039,691,9000
e0:aa:96:0c:d4:20,calle100,9298,433,9000
00:0c:e7:a4:45:32,calle100,9316,421,9300
3c:fa:43:5e:fc:17,calle100,9354,385,9300
b0:89:00:3a:d7:a7,calle100,9358,380,9300
fc:42:03:35:55:9e,calle100,9378,371,9300
d0:fc:cc:bb:6b:69,calle100,9381,347,9300
f0:ee:10:86:19:24,calle100,9411,1568,9300
b4:bf:f6:34:75:7f,calle100,9500,212,9300
a0:cb:fd:3b:b3:2c,calle100,10734,590,10500
9c:4f:cf:91:b1:92,calle100,11019,174,10800
f0:25:b7:38:4c:d1,calle100,11075,310,10800
14:1f:78:4a:88:07,calle100,11097,1266,10800
44:80:eb:a7:79:e2,calle100,11126,290,11100
d0:13:fd:2a:c4:e3,calle100,11176,534,11100
d4:38:9c:6f:df:9b,calle100,11260,538,11100
5c:03:39:55:6d:ae,calle100,11271,210,11100
18:e3:bc:5a:b8:3b,calle100,11271,207,11100
c4:5b:99:a8:1c:58,calle100,11272,225,11100
60:a4:d0:38:c8:a4,calle100,11755,244,11700
70:4d:7b:0b:cd:75,calle100,11941,303,11700
a4:6c:f1:f8:a6:86,calle100,11967,237,11700
a8:c8:3a:7b:cb:ba,calle100,11993,232,11700
64:a6:51:43:7a:2e,calle100,12089,310,12000
08:d4:6a:c3:3c:53,calle100,12355,305,12300
d0:9d:ab:39:60:e8,calle100,12405,135,12300
44:c3:46:d7:25:61,calle100,10833,1629,10800
da:a1:19:7b:88:3c,calle100,10837,1555,10800
90:68:c3:1e:bf:50,calle100,10842,1647,10800
